Fecha,Torneo,Fecha_del_Torneo,Local,Visitante,Goles_Local,Goles_Visitante
03/08/2012,Torneo Inicial 2012,1,Arsenal,Unión,1,0
03/08/2012,Torneo Inicial 2012,1,Vélez Sarsfield,Argentinos Juniors,3,0
04/08/2012,Torneo Inicial 2012,1,Racing Club,Atlético de Rafaela,1,1
04/08/2012,Torneo Inicial 2012,1,Colón,Lanús,1,0
04/08/2012,Torneo Inicial 2012,1,Quilmes,Boca Juniors,3,0
04/08/2012,Torneo Inicial 2012,1,Newell's Old Boys,Independiente,0,0
05/08/2012,Torneo Inicial 2012,1,Godoy Cruz,All Boys,1,1
05/08/2012,Torneo Inicial 2012,1,San Lorenzo,San Martín (SJ),2,1
05/08/2012,Torneo Inicial 2012,1,River Plate,Belgrano,1,2
06/08/2012,Torneo Inicial 2012,1,Tigre,Estudiantes (LP),1,2
10/08/2012,Torneo Inicial 2012,2,San Martín (SJ),Colón,0,1
10/08/2012,Torneo Inicial 2012,2,Lanús,Newell's Old Boys,0,1
11/08/2012,Torneo Inicial 2012,2,Estudiantes (LP),River Plate,0,2
11/08/2012,Torneo Inicial 2012,2,All Boys,Quilmes,1,1
11/08/2012,Torneo Inicial 2012,2,Belgrano,San Lorenzo,0,0
12/08/2012,Torneo Inicial 2012,2,Argentinos Juniors,Racing Club,0,2
12/08/2012,Torneo Inicial 2012,2,Unión,Godoy Cruz,0,1
12/08/2012,Torneo Inicial 2012,2,Boca Juniors,Tigre,2,0
13/08/2012,Torneo Inicial 2012,2,Atlético de Rafaela,Arsenal,0,0
13/08/2012,Torneo Inicial 2012,2,Independiente,Vélez Sarsfield,0,0
18/08/2012,Torneo Inicial 2012,3,Boca Juniors,All Boys,3,1
18/08/2012,Torneo Inicial 2012,3,Colón,Belgrano,2,2
18/08/2012,Torneo Inicial 2012,3,San Lorenzo,Estudiantes (LP),0,1
19/08/2012,Torneo Inicial 2012,3,Racing Club,Independiente,2,0
19/08/2012,Torneo Inicial 2012,3,Godoy Cruz,Atlético de Rafaela,2,0
19/08/2012,Torneo Inicial 2012,3,Vélez Sarsfield,Lanús,0,2
19/08/2012,Torneo Inicial 2012,3,Tigre,River Plate,2,3
20/08/2012,Torneo Inicial 2012,3,Quilmes,Unión,2,1
20/08/2012,Torneo Inicial 2012,3,Arsenal,Argentinos Juniors,2,2
20/08/2012,Torneo Inicial 2012,3,Newell's Old Boys,San Martín (SJ),2,0
25/08/2012,Torneo Inicial 2012,4,All Boys,Tigre,2,2
25/08/2012,Torneo Inicial 2012,4,Unión,Boca Juniors,1,2
25/08/2012,Torneo Inicial 2012,4,Argentinos Juniors,Godoy Cruz,2,1
25/08/2012,Torneo Inicial 2012,4,Independiente,Arsenal,0,2
26/08/2012,Torneo Inicial 2012,4,Atlético de Rafaela,Quilmes,1,1
26/08/2012,Torneo Inicial 2012,4,Belgrano,Newell's Old Boys,0,0
26/08/2012,Torneo Inicial 2012,4,Lanús,Racing Club,1,1
26/08/2012,Torneo Inicial 2012,4,San Martín (SJ),Vélez Sarsfield,0,3
26/08/2012,Torneo Inicial 2012,4,River Plate,San Lorenzo,0,0
27/08/2012,Torneo Inicial 2012,4,Estudiantes (LP),Colón,1,2
31/08/2012,Torneo Inicial 2012,5,All Boys,Unión,3,1
01/09/2012,Torneo Inicial 2012,5,Newell's Old Boys,Estudiantes (LP),1,0
01/09/2012,Torneo Inicial 2012,5,Arsenal,Lanús,1,0
01/09/2012,Torneo Inicial 2012,5,Vélez Sarsfield,Belgrano,2,1
02/09/2012,Torneo Inicial 2012,5,Tigre,San Lorenzo,1,1
02/09/2012,Torneo Inicial 2012,5,Boca Juniors,Atlético de Rafaela,2,1
02/09/2012,Torneo Inicial 2012,5,Godoy Cruz,Independiente,2,1
02/09/2012,Torneo Inicial 2012,5,Colón,River Plate,1,1
03/09/2012,Torneo Inicial 2012,5,Quilmes,Argentinos Juniors,0,1
03/09/2012,Torneo Inicial 2012,5,Racing Club,San Martín (SJ),3,1
08/09/2012,Torneo Inicial 2012,6,San Martín (SJ),Arsenal,4,0
08/09/2012,Torneo Inicial 2012,6,Atlético de Rafaela,All Boys,2,1
08/09/2012,Torneo Inicial 2012,6,Estudiantes (LP),Vélez Sarsfield,0,0
08/09/2012,Torneo Inicial 2012,6,San Lorenzo,Colón,2,1
09/09/2012,Torneo Inicial 2012,6,Argentinos Juniors,Boca Juniors,1,1
09/09/2012,Torneo Inicial 2012,6,Belgrano,Racing Club,1,0
09/09/2012,Torneo Inicial 2012,6,Independiente,Quilmes,1,1
